method,rej,seed
KSD,0,0
pKSD mc,0,0
KSDAGG,0,0
KSD,0,1
pKSD mc,0,1
KSDAGG,0,1
KSD,0,2
pKSD mc,0,2
KSDAGG,0,2
KSD,0,3
pKSD mc,0,3
KSDAGG,0,3
KSD,0,4
pKSD mc,0,4
KSDAGG,0,4
KSD,0,5
pKSD mc,0,5
KSDAGG,0,5
KSD,0,6
pKSD mc,0,6
KSDAGG,0,6
KSD,0,7
pKSD mc,0,7
KSDAGG,0,7
KSD,0,8
pKSD mc,0,8
KSDAGG,0,8
KSD,0,9
pKSD mc,0,9
KSDAGG,0,9
KSD,0,10
pKSD mc,1,10
KSDAGG,0,10
KSD,0,11
pKSD mc,0,11
KSDAGG,0,11
KSD,0,12
pKSD mc,0,12
KSDAGG,0,12
KSD,0,13
pKSD mc,0,13
KSDAGG,0,13
KSD,0,14
pKSD mc,0,14
KSDAGG,0,14
KSD,0,15
pKSD mc,0,15
KSDAGG,0,15
KSD,0,16
pKSD mc,0,16
KSDAGG,0,16
KSD,0,17
pKSD mc,0,17
KSDAGG,0,17
KSD,0,18
pKSD mc,0,18
KSDAGG,0,18
KSD,0,19
pKSD mc,0,19
KSDAGG,0,19
KSD,0,20
pKSD mc,0,20
KSDAGG,0,20
KSD,0,21
pKSD mc,1,21
KSDAGG,0,21
KSD,0,22
pKSD mc,0,22
KSDAGG,0,22
KSD,0,23
pKSD mc,0,23
KSDAGG,0,23
KSD,0,24
pKSD mc,0,24
KSDAGG,0,24
KSD,1,25
pKSD mc,0,25
KSDAGG,1,25
KSD,0,26
pKSD mc,0,26
KSDAGG,0,26
KSD,0,27
pKSD mc,0,27
KSDAGG,0,27
KSD,0,28
pKSD mc,0,28
KSDAGG,0,28
KSD,0,29
pKSD mc,0,29
KSDAGG,0,29
KSD,0,30
pKSD mc,0,30
KSDAGG,0,30
KSD,0,31
pKSD mc,0,31
KSDAGG,0,31
KSD,0,32
pKSD mc,0,32
KSDAGG,0,32
KSD,0,33
pKSD mc,0,33
KSDAGG,0,33
KSD,0,34
pKSD mc,0,34
KSDAGG,0,34
KSD,0,35
pKSD mc,0,35
KSDAGG,0,35
KSD,0,36
pKSD mc,0,36
KSDAGG,0,36
KSD,0,37
pKSD mc,0,37
KSDAGG,0,37
KSD,0,38
pKSD mc,0,38
KSDAGG,0,38
KSD,0,39
pKSD mc,0,39
KSDAGG,0,39
KSD,0,40
pKSD mc,0,40
KSDAGG,0,40
KSD,0,41
pKSD mc,0,41
KSDAGG,0,41
KSD,0,42
pKSD mc,0,42
KSDAGG,0,42
KSD,0,43
pKSD mc,0,43
KSDAGG,0,43
KSD,0,44
pKSD mc,0,44
KSDAGG,0,44
KSD,0,45
pKSD mc,0,45
KSDAGG,0,45
KSD,0,46
pKSD mc,0,46
KSDAGG,0,46
KSD,0,47
pKSD mc,0,47
KSDAGG,0,47
KSD,0,48
pKSD mc,0,48
KSDAGG,0,48
KSD,0,49
pKSD mc,0,49
KSDAGG,0,49
KSD,0,50
pKSD mc,1,50
KSDAGG,0,50
KSD,0,51
pKSD mc,0,51
KSDAGG,0,51
KSD,0,52
pKSD mc,0,52
KSDAGG,0,52
KSD,0,53
pKSD mc,0,53
KSDAGG,0,53
KSD,0,54
pKSD mc,0,54
KSDAGG,0,54
KSD,0,55
pKSD mc,0,55
KSDAGG,0,55
KSD,0,56
pKSD mc,1,56
KSDAGG,0,56
KSD,0,57
pKSD mc,0,57
KSDAGG,0,57
KSD,0,58
pKSD mc,0,58
KSDAGG,0,58
KSD,0,59
pKSD mc,0,59
KSDAGG,0,59
KSD,0,60
pKSD mc,0,60
KSDAGG,0,60
KSD,0,61
pKSD mc,0,61
KSDAGG,0,61
KSD,0,62
pKSD mc,0,62
KSDAGG,0,62
KSD,0,63
pKSD mc,0,63
KSDAGG,0,63
KSD,0,64
pKSD mc,0,64
KSDAGG,0,64
KSD,0,65
pKSD mc,0,65
KSDAGG,0,65
KSD,0,66
pKSD mc,0,66
